lambda_um,energy_eV,eps1,eps2,n,k,alpha_m_inv,alpha_cm_inv,material,model
1.4249999999999998,0.8700645501754386,-6.371494644036291,2.79471555771832,0.5412830382693414,2.5815657984166083,22765552.69351379,227655.5269351379,Ge,AdachiGeSkeleton
1.4264999999999999,0.8691496558009113,-6.451471537521069,2.8603065749253727,0.5502913294651478,2.598902092193084,22894333.600372765,228943.33600372766,Ge,AdachiGeSkeleton
1.428,0.8682366834733893,-6.532599368440727,2.92798405158126,0.5595389362482486,2.6164256514601267,23024491.891571492,230244.91891571492,Ge,AdachiGeSkeleton
1.4295,0.8673256271423574,-6.614888022595392,2.997830530724162,0.5690342443338643,2.6341389473260524,23156044.95405184,231560.4495405184,Ge,AdachiGeSkeleton
1.431,0.8664164807826693,-6.698346342497871,3.0699323228528086,0.5787859938654405,2.6520444131259713,23289009.770147886,232890.09770147887,Ge,AdachiGeSkeleton
1.4324999999999999,0.8655092383944154,-6.782981984209038,3.144379688878867,0.5888032960406512,2.6701444353512738,23423402.840134673,234234.02840134673,Ge,AdachiGeSkeleton
1.434,0.8646038940027894,-6.868801259541411,3.2212670312320775,0.5990956505140344,2.688441343605295,23559240.09672934,235592.4009672934,Ge,AdachiGeSkeleton
1.4355,0.8637004416579588,-6.955808962213815,3.3006930932674634,0.6096729636024191,2.706937399490718,23696536.810776733,236965.36810776734,Ge,AdachiGeSkeleton
1.4369999999999998,0.8627988754349339,-7.044008176406988,3.3827611670827875,0.6205455673181619,2.725634784325517,23835307.48728141,238353.0748728141,Ge,AdachiGeSkeleton
1.4385,0.8618991894334376,-7.133400066023875,3.467579309801834,0.6317242392534176,2.7445355855743943,23975565.75086904,239755.6575086904,Ge,AdachiGeSkeleton
1.44,0.8610013777777777,-7.223983642800176,3.5552605683149836,0.6432202233363739,2.7636417818720775,24117324.219675347,241173.24219675348,Ge,AdachiGeSkeleton
1.4415,0.8601054346167186,-7.315755511239647,3.645923212390818,0.6550452514774433,2.7829552265034367,24260594.366569594,242605.94366569593,Ge,AdachiGeSkeleton
1.4429999999999998,0.8592113541233541,-7.40870958816195,3.739690975977138,0.667211566119513,2.802477629192712,24405386.366518542,244053.86366518543,Ge,AdachiGeSkeleton
1.4445,0.858319130494981,-7.502836794450344,3.836693306396311,0.679731943701643,2.8222105360406333,24551708.928789105,245517.08928789105,Ge,AdachiGeSkeleton
1.446,0.8574287579529737,-7.598124716369003,3.9370656210029886,0.6926197190396356,2.8421553074333477,24699569.11256942,246995.69112569423,Ge,AdachiGeSkeleton
1.4475,0.8565402307426597,-7.694557233587079,4.040949570710601,0.7058888106197584,2.862313093731232,24848972.124462623,248489.72124462624,Ge,AdachiGeSkeleton
1.4489999999999998,0.8556535431331953,-7.792114110795748,4.148493309600017,0.7195537467930782,2.8826848085282766,24999921.09616931,249999.2109616931,Ge,AdachiGeSkeleton
1.4505,0.8547686894174422,-7.890770549537283,4.25985176959688,0.7336296928473522,2.9032710992541815,25152416.840528097,251524.16840528097,Ge,AdachiGeSkeleton
1.452,0.8538856639118457,-7.990496696580402,4.375186938936545,0.7481324789207849,2.924072314871258,25306457.5839252,253064.57583925198,Ge,AdachiGeSkeleton
1.4535,0.8530044609563122,-8.091257104875089,4.494668142822253,0.7630786287069693,2.94508847039684,25462038.67291562,254620.3867291562,Ge,AdachiGeSkeleton
1.4549999999999998,0.8521250749140894,-8.193010142802251,4.618472324314715,0.7784853888824561,2.966319207958867,25619152.25271717,256191.5225271717,Ge,AdachiGeSkeleton
1.4565,0.8512475001716443,-8.295707347102667,4.746784323064214,0.7943707591674696,2.987763754068077,25777786.915048774,257777.86915048774,Ge,AdachiGeSkeleton
1.458,0.8503717311385459,-8.399292714525185,4.879797148997561,0.8107535229054559,3.009420872764192,25937927.312580988,259379.27312580988,Ge,AdachiGeSkeleton
1.4594999999999998,0.8494977622473451,-8.50370192688282,5.0177122474960205,0.8276532780183394,3.0312888142665195,26099553.73705684,260995.5373705684,Ge,AdachiGeSkeleton
1.4609999999999999,0.8486255879534566,-8.608861503848212,5.1607397519311755,0.8450904681604409,3.053365258730741,26262641.657918673,262626.41657918674,Ge,AdachiGeSkeleton
1.4625,0.8477552027350427,-8.714687877465696,5.309098718654419,0.8630864138546389,3.0756472546841516,26427161.2180495,264271.612180495,Ge,AdachiGeSkeleton
1.464,0.8468866010928962,-8.821086382013721,5.4630173386486565,0.881663343348752,3.098131151681384,26593076.68300525,265930.7668300525,Ge,AdachiGeSkeleton
1.4655,0.846019777550324,-8.927950152527137,5.622733119030516,0.9008444228771112,3.120812526691716,26760345.839879073,267603.45839879074,Ge,AdachiGeSkeleton
1.4669999999999999,0.8451547266530334,-9.035158924999452,5.788493026424137,0.9206537859512182,3.1436861036982946,26928919.341706567,269289.19341706566,Ge,AdachiGeSkeleton
1.4685,0.8442914429690159,-9.142577731047009,5.960553582896454,0.9411165612332331,3.166745665959689,27098739.993098475,270987.3999309848,Ge,AdachiGeSkeleton
1.47,0.8434299210884353,-9.25005547964887,6.139180903626341,0.9622588984651961,3.1899839603553373,27269741.972575787,272697.41972575785,Ge,AdachiGeSkeleton
1.4714999999999998,0.8425701556235135,-9.357423418507851,6.3246506637628706,0.9841079918348274,3.213392593210644,27441849.98689885,274418.4998689885,Ge,AdachiGeSkeleton
1.4729999999999999,0.8417121412084182,-9.464493467637459,6.51724797998542,1.0066921000534352,3.2369619169751527,27614978.352529734,276149.78352529736,Ge,AdachiGeSkeleton
1.4745,0.8408558724991523,-9.571056418007942,6.717267190094764,1.0300405623019504,3.260680907110547,27789029.999264833,277890.2999926483,Ge,AdachiGeSkeleton
1.476,0.8400013441734416,-9.676879988528526,6.925011511520382,1.054183809065883,3.284537028536165,27963895.391037576,279638.95391037577,Ge,AdachiGeSkeleton
1.4775,0.839148550930626,-9.781706735357337,7.1407925569060335,1.0791533667273208,3.3085160909804032,28139451.35893781,281394.5135893781,Ge,AdachiGeSkeleton
1.4789999999999999,0.8382974874915483,-9.885251808584863,7.364929681924302,1.1049818546110228,3.332602092600387,28315559.84165341,283155.5984165341,Ge,AdachiGeSkeleton
1.4805,0.8374481485984464,-9.987200552807767,7.597749137158973,1.1317029729903145,3.3567770512625477,28492066.52883547,284920.66528835474,Ge,AdachiGeSkeleton
1.482,0.8366005290148447,-10.08720595009339,7.839582992287258,1.1593514803463199,3.3810208229282757,28668799.403361913,286687.9940336191,Ge,AdachiGeSkeleton
1.4834999999999998,0.8357546235254466,-10.184885906437055,8.090767796899947,1.1879631579398062,3.4053109066661404,28845567.179161567,288455.67179161566,Ge,AdachiGeSkeleton
1.4849999999999999,0.8349104269360269,-10.279820386160532,8.351642938146451,1.217574759498549,3.429622235921688,29022157.63221489,290221.5763221489,Ge,AdachiGeSkeleton
1.4865,0.8340679340733266,-10.371548402930841,8.622548651028547,1.2482239435447082,3.453926955824217,29198335.823620908,291983.3582362091,Ge,AdachiGeSkeleton
1.488,0.8332271397849462,-10.459564881354364,8.90382363266929,1.2799491855879528,3.4781941865056396,29373842.21528184,293738.4221528184,Ge,AdachiGeSkeleton
1.4895,0.8323880389392413,-10.543317409595073,9.195802207355833,1.3127896670929857,3.502389772658261,29548390.68087605,295483.9068087605,Ge,AdachiGeSkeleton
1.4909999999999999,0.8315506264252179,-10.622202911368328,9.498810984749493,1.346785137799097,3.526476019876622,29721666.417451292,297216.6641745129,Ge,AdachiGeSkeleton
1.4925,0.8307148971524287,-10.695564275172847,9.813164949579205,1.3819757476308616,3.55041141872498,29893323.76626523,298933.2376626523,Ge,AdachiGeSkeleton
1.494,0.8298808460508701,-10.76268698994402,10.139162917645386,1.4184018441011093,3.5741503579583003,30062983.955521088,300629.8395552109,Ge,AdachiGeSkeleton
1.4954999999999998,0.8290484680708793,-10.822795849641363,10.477082290414087,1.4561037307829063,3.597642828914686,30230232.782503188,302302.3278250319,Ge,AdachiGeSkeleton
1.4969999999999999,0.8282177581830328,-10.875051804793651,10.827173039299398,1.4951213821314027,3.6208341238035424,30394618.258406002,303946.18258406,Ge,AdachiGeSkeleton
1.4985,0.8273887113780447,-10.918549056854408,11.189650851458028,1.5354941096902546,3.643664531450155,30555648.245977987,305556.4824597799,Ge,AdachiGeSkeleton
1.5,0.8265613226666666,-10.95231251143387,11.564689372199519,1.577260174546623,3.666069035035308,30712788.128053185,307127.8812805319,Ge,AdachiGeSkeleton
1.5015,0.8257355870795869,-10.975295729038494,11.952411485722097,1.6204563408357344,3.6879770174979716,30865458.55419147,308654.5855419147,Ge,AdachiGeSkeleton
1.503,0.824911499667332,-10.986379536687464,12.352879586712005,1.6651173651794717,3.7093119815552975,31013033.32302521,310130.33323025214,Ge,AdachiGeSkeleton
1.5045,0.8240890555001661,-10.984371490314956,12.76608481141533,1.7112754172203524,3.7299912927375107,31154837.46950631,311548.3746950631,Ge,AdachiGeSkeleton
1.5059999999999998,0.8232682496679947,-10.968006405577011,13.19193521921295,1.758959426935217,3.7499259554264905,31290145.638973575,312901.45638973574,Ge,AdachiGeSkeleton
1.5074999999999998,0.8224490772802654,-10.935948202607815,13.630242945699733,1.8081943552446729,3.769020433606922,31418180.843646634,314181.8084364663,Ge,AdachiGeSkeleton
1.509,0.8216315334658715,-10.886793337058402,14.080710386952628,1.859000385639069,3.7871725298518695,31538113.711490273,315381.1371149027,Ge,AdachiGeSkeleton
1.5105,0.8208156133730552,-10.819076113574502,14.542915523192503,1.9113920361925236,3.804273337918124,31649062.351939358,316490.62351939356,Ge,AdachiGeSkeleton
1.512,0.820001312169312,-10.731276196367128,15.016296549274552,1.9653771935020836,3.8202072861436793,31750092.97708779,317500.9297708779,Ge,AdachiGeSkeleton
1.5134999999999998,0.8191886250412951,-10.621828641755023,15.500136049899815,2.02095607283588,3.8348522905174907,31840221.429776654,318402.21429776656,Ge,AdachiGeSkeleton
1.515,0.8183775471947194,-10.489136775980473,15.993545039046506,2.078120112155515,3.8480800376974647,31918415.7804776,319184.157804776,Ge,AdachiGeSkeleton
1.5165,0.8175680738542697,-10.331588224148605,16.49544727495069,2.136850811725393,3.859756419221306,31983600.161613457,319836.00161613454,Ge,AdachiGeSkeleton
1.5179999999999998,0.8167602002635047,-10.147574358333971,17.004564361986265,2.197118535735431,3.869742138490132,32034660.009400412,320346.6000940041,Ge,AdachiGeSkeleton
1.5194999999999999,0.8159539216847648,-9.935513370092213,17.519402255518315,2.2588812976938777,3.877893511581177,32070448.877622776,320704.48877622775,Ge,AdachiGeSkeleton
1.521,0.8151492333990795,-9.693877080352252,18.03823989008613,2.3220835571876313,3.884063481318684,32089796.973010324,320897.9697301032,Ge,AdachiGeSkeleton
1.5225,0.8143461307060755,-9.421221474210778,18.559120748026945,2.3866550617723985,3.8881028610486363,32091521.536083687,320915.2153608369,Ge,AdachiGeSkeleton
1.524,0.8135446089238845,-9.116220787150102,19.07984826581812,2.452509773971068,3.8898618199845765,32074439.15260622,320744.3915260622,Ge,AdachiGeSkeleton
1.5254999999999999,0.8127446633890528,-8.777704772479344,19.597986028069116,2.519544929254366,3.8891916156202346,32037380.027625166,320373.8002762517,Ge,AdachiGeSkeleton
1.527,0.8119462894564505,-8.404698550239244,20.11086371186652,2.5876402759841697,3.885946570416875,31979204.185629617,319792.0418562962,Ge,AdachiGeSkeleton
1.5285,0.8111494824991822,-7.996464182236454,20.615589703985876,2.656657552054692,3.8799862797599793,31898819.476671625,318988.1947667163,Ge,AdachiGeSkeleton
1.5299999999999998,0.8103542379084968,-7.5525428477289,21.10907120779318,2.726440254748393,3.8711780261880726,31795201.170746893,317952.01170746895,Ge,AdachiGeSkeleton
1.5314999999999999,0.809560551093699,-7.0727962260753525,21.588042474958147,2.796813759479966,3.8593993614669904,31667412.814244434,316674.12814244436,Ge,AdachiGeSkeleton
1.533,0.8087684174820613,-6.557445447770306,22.049101532916815,2.8675858390214075,3.844540803779616,31514627.90758054,315146.2790758054,Ge,AdachiGeSkeleton
1.5345,0.8079778325187357,-6.007105779131156,22.48875543193876,2.9385476269818103,3.826508582921458,31336151.848822005,313361.51848822006,Ge,AdachiGeSkeleton
1.536,0.8071887916666666,-5.4228150862321005,22.903473613287538,3.0094750574518625,3.805227352952382,31131443.48248473,311314.4348248473,Ge,AdachiGeSkeleton
1.5374999999999999,0.8064012904065041,-4.8060541078710335,23.289748519484935,3.0801307968032337,3.7806427804391616,30900135.505365748,309001.3550536575,Ge,AdachiGeSkeleton
1.539,0.8056153242365172,-4.158756679089339,23.64416205634472,3.1502666640064056,3.752723908501582,30642052.922415454,306420.52922415454,Ge,AdachiGeSkeleton
1.5405,0.8048308886725088,-3.4833083020514533,23.963456010916083,3.219626513271098,3.721465193577613,30357228.725046534,303572.28725046536,Ge,AdachiGeSkeleton
1.5419999999999998,0.8040479792477303,-2.7825318645093473,24.244604073561106,3.2879495285202744,3.6868881141968552,30045915.990060616,300459.15990060614,Ge,AdachiGeSkeleton
1.5434999999999999,0.8032665915127956,-2.0596598476476893,24.484882753105417,3.354973854763809,3.6490422597986476,29708595.674822498,297085.95674822497,Ge,AdachiGeSkeleton
1.545,0.8024867210355987,-1.3182930186529904,24.6819382563239,3.420440468696451,3.608005822965006,29345979.514656466,293459.79514656466,Ge,AdachiGeSkeleton
1.5465,0.8017083634012285,-0.5623463269464167,24.833846363838486,3.484097171767429,3.563885439974778,28959007.60804498,289590.0760804498,Ge,AdachiGeSkeleton
1.548,0.8009315142118862,0.2040165380941426,24.93916249668564,3.545702575407043,3.5168153513020832,28548840.49530344,285488.4049530344,Ge,AdachiGeSkeleton
1.5494999999999999,0.8001561690868022,0.9764577783706615,24.996959535514538,3.605029941572831,3.466955883951503,28116845.78339323,281168.4578339323,Ge,AdachiGeSkeleton
1.551,0.7993823236621534,1.7505465760585421,25.006851510449955,3.6618707432663626,3.414491289245237,27664579.626148753,276645.7962614875,Ge,AdachiGeSkeleton
1.5525,0.7986099735909822,2.5218434932421956,24.969001986039746,3.7160378194497885,3.3596270004777233,27193763.61611009,271937.6361611009,Ge,AdachiGeSkeleton
1.5539999999999998,0.7978391145431145,3.285984825758435,24.884116766891424,3.76736801635964,3.3025864023415252,26706257.86214075,267062.5786214075,Ge,AdachiGeSkeleton
1.5554999999999999,0.7970697422050788,4.038763572568178,24.753421378871383,3.8157242313321604,3.2436072260690305,26204031.199098002,262040.31199098003,Ge,AdachiGeSkeleton
